,price,year,manufacturer,model,condition,fuel,odometer,title_status,transmission,type,paint_color
48039,0,2019.0,ford,f-350 super duty lariat li,,diesel,51450.0,clean,automatic,truck,
48040,0,2019.0,ford,f-250 super duty lariat li,,diesel,34613.0,clean,automatic,truck,
48041,18500,1973.0,,Plymouth Scamp,,gas,93124.0,clean,automatic,,
48042,9999,2013.0,mercedes-benz,c 250,,gas,112000.0,clean,automatic,sedan,white
48043,19999,2012.0,ford,f-150,,gas,134000.0,clean,automatic,truck,silver
48044,23999,2016.0,ford,f-150,,gas,113000.0,clean,automatic,truck,white
48045,21999,2012.0,bmw,640i,,gas,73000.0,clean,automatic,convertible,white
48046,27999,2011.0,chevrolet,silverado 1500,,gas,95000.0,clean,automatic,truck,grey
48047,23995,2008.0,toyota,tundra,,gas,102545.0,clean,automatic,,
48048,32995,2015.0,toyota,tacoma,excellent,gas,68564.0,clean,automatic,pickup,white
48049,13995,2016.0,dodge,g. caravan se,like new,gas,73562.0,clean,automatic,mini-van,white
48050,19999,2013.0,mercedes-benz,cls 550,,gas,92000.0,clean,automatic,sedan,white
48051,13995,2013.0,ford,escape 4x4,like new,gas,41536.0,clean,automatic,SUV,blue
48052,19999,2012.0,audi,a7,,gas,92000.0,clean,automatic,sedan,black
48053,12995,2015.0,mitsubishi,outlander,like new,gas,53089.0,clean,automatic,SUV,red
48054,16995,2010.0,ford,f150 4x4,like new,gas,120619.0,clean,automatic,pickup,white
48055,11999,2010.0,mercedes-benz,e 350,,gas,89000.0,clean,automatic,sedan,silver
48056,22999,2005.0,chevrolet,corvette,,gas,42000.0,clean,automatic,coupe,white
48057,8995,2014.0,ford,c max,excellent,gas,82256.0,clean,automatic,sedan,silver
48058,20999,2014.0,bmw,x5 sdrive35i,,gas,63000.0,clean,automatic,SUV,white
48059,11995,2015.0,,CHEC MALIBU LS,excellent,gas,60000.0,clean,automatic,sedan,silver
48060,34995,2015.0,ford,f150 4x4,like new,gas,57765.0,clean,automatic,pickup,grey
48061,0,2015.0,cadillac,escalade,,gas,79883.0,clean,automatic,SUV,white
48062,4500,1999.0,bmw,z3 convertible,good,gas,89432.0,clean,manual,convertible,black
48063,31980,2019.0,gmc,savana 2500,,gas,19473.0,clean,automatic,van,white
48064,10000,2007.0,ram,1500 st,excellent,gas,62750.0,clean,manual,pickup,white
48065,5488,2005.0,ford,escape,excellent,hybrid,126319.0,clean,automatic,SUV,grey
48066,27999,2016.0,jeep,wrangler unlimited,,gas,58000.0,clean,automatic,SUV,red
48067,7999,2006.0,mercedes-benz,r350,,gas,81000.0,clean,automatic,wagon,silver
48068,27999,2013.0,toyota,tundra,,gas,91000.0,clean,automatic,truck,grey
48069,29999,2011.0,toyota,tundra,,gas,58000.0,clean,automatic,truck,black
48070,18999,2006.0,toyota,4runner,,gas,94000.0,clean,automatic,SUV,grey
48071,8995,2006.0,toyota,avalon,excellent,gas,127620.0,clean,automatic,,
48072,10495,2012.0,volkswagen,gti 2.0t hatchback,excellent,gas,94224.0,,automatic,hatchback,
48073,24999,2006.0,chevrolet,corvette,,gas,46000.0,clean,manual,coupe,silver
48074,19999,2007.0,ford,f-150,,gas,88000.0,clean,automatic,truck,black
48075,24999,2010.0,toyota,tundra,,gas,127000.0,clean,automatic,truck,
48076,25999,2008.0,toyota,fj cruiser,,gas,95000.0,clean,automatic,SUV,black
48077,24999,2007.0,toyota,tacoma,,gas,110000.0,clean,manual,truck,white
48078,21999,2006.0,chevrolet,silverado 1500,,gas,109000.0,clean,automatic,truck,grey
48079,12995,2003.0,chevrolet,1500 z-71 4wd,,gas,147823.0,clean,automatic,pickup,
48080,59995,2018.0,ford,f-350 lariat crewcab dually,,diesel,69511.0,clean,automatic,truck,
48081,17995,2008.0,chevrolet,silverado 1500 crewcab,,gas,101671.0,clean,automatic,pickup,
48082,19995,2005.0,gmc,sierra 3500 crew-cab dually,,diesel,186230.0,clean,automatic,,
48083,13995,2016.0,kia,soul,,gas,57314.0,clean,automatic,wagon,
48084,32980,2019.0,ford,transit 250,,gas,17445.0,clean,automatic,van,white
48085,11995,2017.0,hyundai,accent sedan,,gas,64658.0,clean,automatic,,
48086,10995,2013.0,nissan,altima sl sdn,,gas,119124.0,clean,automatic,,
48087,15995,2017.0,toyota,camry se,,gas,103514.0,clean,automatic,,
48088,13995,2013.0,ford,fusion se sdn,,gas,71539.0,clean,automatic,,
48089,14995,2015.0,toyota,prius hatchback,,gas,46407.0,clean,automatic,,
48090,12995,2013.0,ford,edge sel awd,,gas,113073.0,clean,automatic,SUV,
48091,10995,2015.0,,CHRYSER 200 C SEDAN,,gas,130000.0,clean,automatic,sedan,
48092,16995,2017.0,nissan,altima sv sdn,,gas,56052.0,clean,automatic,sedan,
48093,6000,2010.0,chrysler,300,excellent,gas,128500.0,clean,automatic,,grey
48094,8990,2013.0,mitsubishi,lancer sportback es,,gas,61032.0,clean,automatic,hatchback,red
48095,8990,2012.0,mini,cooper countryman s all4,,gas,150382.0,clean,manual,wagon,white
48096,21995,2013.0,jeep,wrangler,,gas,118575.0,clean,automatic,SUV,black
48097,9900,2012.0,toyota,corolla,,gas,127798.0,clean,automatic,sedan,grey
48098,37999,2006.0,,Bentley Continental Flying Spur,,gas,48000.0,clean,automatic,sedan,silver
48099,13999,2004.0,ram,1500,,gas,83000.0,clean,automatic,truck,black
48100,19999,2012.0,audi,a7,,gas,104000.0,clean,automatic,sedan,grey
48101,24999,2007.0,toyota,fj cruiser,,gas,99000.0,clean,automatic,SUV,silver
48102,16999,2007.0,ford,f-150,,gas,73000.0,clean,automatic,truck,white
48103,27999,2014.0,ford,f-150,,gas,96000.0,clean,automatic,truck,black
48104,699,2018.0,bmw,m3 l,,gas,18529.0,clean,manual,sedan,
48105,20000,2003.0,ford,f350 super duty,excellent,diesel,241000.0,clean,automatic,pickup,
48106,21500,2012.0,chevrolet,camaro,,gas,85395.0,clean,other,coupe,blue
48107,9900,2011.0,volkswagen,tiguan,,gas,117140.0,clean,other,SUV,grey
48108,0,2005.0,gmc,sierra 1500 hybrid,,gas,81817.0,clean,automatic,truck,
48109,0,2015.0,ram,2500,,gas,53968.0,clean,automatic,truck,
48110,13990,2016.0,ford,focus titanium hatchback 4d,good,gas,61401.0,clean,other,hatchback,red
48111,12990,2013.0,kia,forte sx sedan 4d,good,gas,70825.0,clean,automatic,sedan,black
48112,18990,2013.0,infiniti,jx jx35 sport utility,good,gas,97133.0,clean,automatic,SUV,
48113,14990,2015.0,toyota,prius two hatchback 4d,good,gas,86887.0,clean,other,hatchback,black
48114,26990,2020.0,hyundai,sonata sel plus sedan 4d,good,gas,2769.0,clean,other,sedan,
48115,41990,2019.0,lincoln,continental reserve,good,gas,9345.0,clean,other,sedan,blue
48116,43990,2020.0,buick,enclave premium sport,good,other,2212.0,clean,other,other,black
48117,21590,2015.0,,Scion FR-S Coupe 2D,good,gas,24056.0,clean,other,coupe,orange
48118,38990,2020.0,acura,rdx advance pkg sport,good,gas,14028.0,clean,other,SUV,white
48119,15590,2017.0,subaru,impreza 2.0i premium,good,other,85680.0,clean,automatic,wagon,red
48120,28990,2018.0,infiniti,qx60 3.5 sport utility,good,gas,32458.0,clean,other,SUV,black
48121,31990,2018.0,alfa-romeo,romeo stelvio ti sport,good,other,24008.0,clean,other,hatchback,white
48122,13590,2009.0,mercedes-benz,c-class c 300,good,other,77034.0,clean,other,sedan,
48123,42990,2017.0,cadillac,ats-v coupe 2d,good,gas,40971.0,clean,other,coupe,black
48124,25990,2017.0,jaguar,xf 35t premium sedan 4d,good,other,29170.0,clean,other,sedan,blue
48125,19590,2016.0,mercedes-benz,e-class e 350,good,gas,94989.0,clean,automatic,sedan,
48126,33590,2020.0,,Genesis G70 2.0T Sedan 4D,good,other,786.0,clean,other,sedan,white
48127,10990,2013.0,nissan,sentra s sedan 4d,good,gas,81557.0,clean,other,sedan,red
48128,30000,2016.0,honda,odyssey,like new,gas,9450.0,salvage,automatic,van,brown
48129,3500,1963.0,gmc,pickup,fair,diesel,0.0,parts only,manual,pickup,yellow
48130,37500,2013.0,,Peterbilt 337,excellent,diesel,148704.0,clean,automatic,truck,white
48131,28999,2012.0,ram,5500 sy chassis diesel,excellent,diesel,204240.0,clean,automatic,truck,
48132,4950,2003.0,ford,f-150,,gas,117000.0,clean,manual,pickup,
48133,0,2017.0,,ALL MAKES,,other,100000.0,clean,other,,
48134,11913,2013.0,ford,escape xlt,excellent,gas,63871.0,clean,automatic,SUV,white
48135,13911,2011.0,buick,enclave,excellent,gas,100567.0,clean,automatic,SUV,silver
48136,8512,2012.0,,scion xd,excellent,gas,125755.0,clean,automatic,SUV,blue
48137,9910,2010.0,honda,civic lxs,excellent,gas,109534.0,clean,automatic,sedan,black
48138,8915,2015.0,hyundai,,like new,gas,125437.0,clean,automatic,sedan,red
48139,12571,1971.0,ford,f250,excellent,gas,123456.0,clean,automatic,truck,white
48140,0,2019.0,,ALL MAKES,excellent,other,100000.0,clean,other,,
48141,0,2017.0,,ALL MAKES,,other,100000.0,clean,other,,
48142,19914,2014.0,chevrolet,silverado 1500 lt,excellent,gas,214133.0,clean,automatic,truck,grey
48143,0,2017.0,,ALL MAKES,,other,100000.0,clean,other,,
48144,59995,2018.0,ford,f-350 lariat crewcab dually,,diesel,69511.0,clean,automatic,truck,
